Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
gratia,"grātia, grātiae","gratia, gratiae",Nomen,f,der Dank,1,,,,,Campus C,6,,,,,,,Top500
gratiam habere,grātiam habēre,gratiam habere,,,"danken, dankbar sein",2,,,,,Campus C,6,,,,,,,
gravis,"gravis, gravis, grave","gravis, gravis, grave",,,schwer,1,,,,,Campus C,54,,,,,,,Top500
habere,"habēre, habeō, habuī, habitum","habere, habeo, habui, habitum",Verb,,"haben, halten",2,,,,,Campus C,6,,,,,,,Top500
habitare,"habitāre, habitō, habitāvī, habitātum","habitare, habito, habitavi, habitatum",Verb,,"wohnen, bewohnen",2,,,,,Campus C,10,,,,,,,
haerere,"haerēre, haereō, haesī","haerere, haereo, haesi",Verb,,"hängen, stecken bleiben",2,,,,,Campus C,42,,,,,,,
Hamilcar,"Hamilcar, Hamilcaris","Hamilcar, Hamilcaris",Nomen,m,Hamilkar (Vater Hannibals),1,,,,,Campus C,43,,,,,,,
Hannibal,"Hannibal, Hannibalis","Hannibal, Hannibalis",Nomen,m,"Hannibal (karthagischer Feldherr, 247–183 v. Chr.)",2,,,,,Campus C,43,,,,,,,
Hercules,"Herculēs, Herculis","Hercules, Herculis",Nomen,m,Herkules,1,Sagenhafter Held,,,,Campus C,27,,,,,,,
heri,herī,heri,Adverb,Adv.,gestern,1,,,,,Campus C,20,,,,,,,
hic,"hic, haec, hoc","hic, haec, hoc",,,"dieser, diese, dieses (hier); folgender",4,,,,,Campus C,40,,,,,,,Top500
hic (Adv.),hīc,hic,Adverb,,hier,1,,,,,Campus C,3,,,,,,,Top500
Hispania,"Hispānia, Hispāniae","Hispania, Hispaniae",Nomen,f,Spanien (seit 197 v. Chr. röm. Provinz)XV.,1,,,,,Campus C,51,,,,,,,
hodie,hodiē,hodie,Adverb,Adv.,heute,1,,,,,Campus C,11,,,,,,,
homo,"homō, hominis","homo, hominis",Nomen,m,der Mensch,1,,,,,Campus C,23,,,,,,,Top500
honestus,"honestus, a, um","honestus, a, um",Adjektiv,,"ehrenhaft, angesehen",2,,,,,Campus C,29,,,,,,,
honor,"honor, honōris","honor, honoris",Nomen,m,"die Ehre, das Ehrenamt",2,,,,,Campus C,18,,,,,,,Top500
hora,"hōra, hōrae","hora, horae",Nomen,,die Stunde,1,,,,,Campus C,14,,,,,,,
hostia,"hostia, hostiae","hostia, hostiae",Nomen,f,"das Opfertier, das Schlachtopfer",2,,,,,Campus C,50,,,,,,,
hostis,"hostis, hostis","hostis, hostis",Nomen,m (Genitiv Plural hostium),der Feind (Landesfeind),1,,,,,Campus C,35,,,,,,,Top500
huc,hūc,huc,Adverb,Adv.,hierher,1,,,,,Campus C,47,,,,,,,Top500
iacere,"iacēre, iaceō, iacuī","iacere, iaceo, iacui",Verb,,liegen,1,,,,,Campus C,26,,,,,,,
iam,iam,iam,Adverb,Adv.,"schon, bereits; nun",3,,,,,Campus C,4,,,,,,,Top500
ibi,ibī,ibi,Adverb,Adv.,dort,1,,,,,Campus C,3,,,,,,,Top500
Icarus,"Īcarus, Īcarī","Icarus, Icari",Nomen,,Ikarus (Sohn des Dädalus),1,,,,,Campus C,55,,,,,,,
idem,"īdem, eadem, idem","idem, eadem, idem",,,"derselbe, der gleiche",2,,,,,Campus C,42,,,,,,,Top500
idem ... qui,īdem ... quī,idem ... qui,,,derselbe ... wie,1,,,,,Campus C,42,,,,,,,
idoneus,"idōneus, a, um","idoneus, a, um",Adjektiv,,"geeignet, passend",2,,,,,Campus C,34,,,,,,,
igitur,igitur,igitur,Adverb,Adv.,"also, folglich",2,,,,,Campus C,52,,,,,,,Top500
ignoscere,"īgnōscere, īgnōscō, īgnōvī","ignoscere, ignosco, ignovi",Verb,,verzeihen,1,,,,,Campus C,40,,,,,,,
ignotus,"īgnōtus, a, um","ignotus, a, um",Adjektiv,,unbekannt,1,,,,,Campus C,45,,,,,,,
ille,"ille, illa, illud","ille, illa, illud",,,"jener, jene, jenes; der (dort); jener berühmte",5,,,,,Campus C,40,,,,,,,Top500
immo,immō,immo,Adverb,Adv.,"im Gegenteil, ja sogar",2,,,,,Campus C,58,,,,,,,
immortalis,"immortālis, immortālis, immortāle","immortalis, immortalis, immortale",,,unsterblich,1,,,,,Campus C,43,,,,,,,
impedire,"impedīre, impediō, impedīvī, impedītum","impedire, impedio, impedivi, impeditum",Verb,,"hindern, verhindern",2,,,,,Campus C,46,,,,,,,
impellere,"impellere, impellō, impulī, impulsum","impellere, impello, impuli, impulsum",Verb,,"antreiben, veranlassen",2,,,,,Campus C,61,,,,,,,
imperare,"imperāre, imperō, imperāvī, imperātum","imperare, impero, imperavi, imperatum",Verb,,"befehlen, herrschen (über)",2,,,,,Campus C,9,,,,,,,Top500
imperator,"imperātor, imperātōris","imperator, imperatoris",Nomen,m,"der Befehlshaber, der Feldherr, der Kaiser",3,,,,,Campus C,18,,,,,,,Top500
imperium,"imperium, imperiī","imperium, imperii",Nomen,n,"der Befehl, die Herrschaft, das Reich",3,,,,,Campus C,14,,,,,,,Top500
impetus,"impetus, impetūs","impetus, impetus",Nomen,m,"der Angriff, der Schwung",2,,,,,Campus C,64,,,,,,,
impius,"impius, a, um","impius, a, um",Adjektiv,,"gottlos, gewissenlos",2,,,,,Campus C,61,,,,,,,
improbus,"improbus, a, um","improbus, a, um",Adjektiv,,"schlecht, unanständig",2,,,,,Campus C,69,,,,,,,
in (m. Abl.),in (m. Abl.),in (m. Abl.),Präposition,,"in, an, auf, bei",4,Frage: Wo?,,,,Campus C,1,,,,,,,Top500
in (m. Akk.),in (m. Akk.),in (m. Akk.),Präposition,,"in (... hinein), nach",2,Frage: Wohin?,,,,Campus C,12,,,,,,,Top500
in animo habere,in animō habēre,in animo habere,,,"im Sinn haben, vorhaben",2,,,,,Campus C,19,,,,,,,
in honore esse,in honōre esse,in honore esse,,,"in Ehren stehen, angesehen sein",2,,,,,Campus C,18,,,,,,,
in vincula dare,in vincula dare,in vincula dare,,,"fesseln, gefangen nehmen",2,,,,,Campus C,58,,,,,,,
inanis,"inānis, inānis, ināne","inanis, inanis, inane",Adjektiv,,"leer, wertlos",2,,,,,Campus C,35,,,,,,,
incertus,"incertus, a, um","incertus, a, um",Adjektiv,,"ungewiss, unsicher",2,,,,,Campus C,69,,,,,,,
incipere,"incipere, incipiō, coepī (incēpī), inceptum","incipere, incipio, coepi (incepi), inceptum",Verb,,"anfangen, beginnen",2,,,,,Campus C,64,,,,,,,Top500
inde,inde,inde,Adverb,Adv.,von dort; darauf; deshalb,3,,,,,Campus C,69,,,,,,,Top500
indicare,"indicāre, indicō, indicāvī, indicātum","indicare, indico, indicavi, indicatum",Verb,,"anzeigen, melden",2,,,,,Campus C,12,,,,,,,
infelix,"īnfēlīx, īnfēlīcis","infelix, infelicis",,,unglücklich,1,,,,,Campus C,65,,,,,,,
inferi,"īnferī, īnferōrum","inferi, inferorum",Nomen,m Plural,"die Bewohner der Unterwelt, Unterwelt",2,,,,,Campus C,58,,,,,,,
inferre,"īnferre, īnferō, intulī, illātum","inferre, infero, intuli, illatum",,,"hineintragen, zufügen",2,,,,,Campus C,70,,,,,,,Top500
ingenium,"ingenium, ingeniī","ingenium, ingenii",Nomen,n,"die Begabung, das Talent, der Verstand",3,,"Ingenieur, Genie",,,Campus C,11,,,,,,,Top500
ingens,"ingēns, ingentis","ingens, ingentis",,,"gewaltig, ungeheuer",2,,,,,Campus C,45,,,,,,,Top500
inire,"inīre, ineō, iniī","inire, ineo, inii",Verb,,"hineingehen (in), beginnen",2,,,,,Campus C,37,,,,,,,
iniuria,"iniūria, iniūriae","iniuria, iniuriae",Nomen,f,"das Unrecht, die Beleidigung; die Rechtsverletzung",3,,,,,Campus C,9,,,,,,,Top500
insidiae,"īnsidiae, īnsidiārum","insidiae, insidiarum",Nomen,f Plural,"die Falle, das Attentat, die Hinterlist",3,,,,,Campus C,44,,,,,,,Top500
instare,"īnstare, īnstō, īnstitī","instare, insto, institi",Verb,,"bevorstehen, hart zusetzen; drohen",3,,,,,Campus C,65,,,,,,,
insula,"īnsula, īnsulae","insula, insulae",Nomen,f,die Insel; der Wohnblock,2,,,,,Campus C,7,,,,,,,
intellegere,"intellegere, intellegō, intellēxi, intellēctum","intellegere, intellego, intellexi, intellectum",Verb,,"(be)merken, verstehen",2,,,,,Campus C,66,,,,,,,Top500
inter,inter (m. Akk.),inter (m. Akk.),Präposition,Präp. m. Akk.,"unter, während, zwischen",3,,,,,Campus C,39,,,,,,,Top500
interficere,"interficere, interficiō, interfēcī, interfectum","interficere, interficio, interfeci, interfectum",Verb,,"töten, vernichten",2,,,,,Campus C,22;27;49,,,,,,,Top500
interrogare,"interrogāre, interrogō, interrogāvī, interrogātum","interrogare, interrogo, interrogavi, interrogatum",Verb,,fragen,1,,,,,Campus C,39,,,,,,,
intra,intrā (m. Akk.),intra (m. Akk.),Präposition,Präp. m. Akk.,innerhalb (von),1,,,,,Campus C,42,,,,,,,
intrare,"intrāre, intrō, intrāvī","intrare, intro, intravi",Verb,,"betreten, eintreten",2,,,,,Campus C,8,,,,,,,
intus,intus,intus,Adverb,Adv.,"im Inneren, innen",2,,,,,Campus C,63,,,,,,,
invenire,"invenīre, inveniō, invēnī, inventum","invenire, invenio, inveni, inventum",Verb,,"finden, erfinden",2,,,,,Campus C,13;27;48,,,,,,,Top500
invitus,"invītus, a, um","invitus, a, um",Adjektiv,,"ungern, gegen den Willen",2,,,,,Campus C,60,,,,,,,
Iocasta,Iocasta,Iocasta,,,"Iokaste (Mutter des Ödipus, Frau des Laios; heiratete nach dem Tod des Laios in Unwissenheit den eigenen Sohn)",3,,,,,Campus C,59,,,,,,,
ipse,"ipse, ipsa, ipsum","ipse, ipsa, ipsum",,"Genitiv ipsīus, Dativ ipsī","(er, sie, es) selbst; persönlich; gerade; sogar (hervorhebend)",6,,,,,Campus C,56,,,,,,,Top500
ira,"īra, īrae","ira, irae",Nomen,f,"der Zorn, die Wut",2,,,,,Campus C,46,,,,,,,
ire,"īre, eō, iī, itum","ire, eo, ii, itum",Verb,,gehen,1,,,,,Campus C,37,,,,,,,Top500
is,"is, ea, id","is, ea, id",Pronomen,,"dieser, diese, dieses; er, sie, es",6,,,,,Campus C,26,,,,,,,Top500
iste,"iste, ista, istud","iste, ista, istud",,"Genitiv istius, Dativ isti","dieser, diese, dieses (da)",3,,,,,Campus C,60,,,,,,,Top500
ita,ita,ita,Adverb,Adv.,so,1,,,,,Campus C,13,,,,,,,Top500
Italia,"Italia, Italiae","Italia, Italiae",Nomen,f,Italien,1,,,,,Campus C,31;43;51,,,,,,,
itaque,itaque,itaque,Adverb,,deshalb,1,,,,,Campus C,5,,,,,,,Top500
item,item,item,Adverb,Adv.,"ebenso, gleichfalls",2,,,,,Campus C,67,,,,,,,Top500
iter,"iter, itineris","iter, itineris",Nomen,n,"die Reise, der Marsch, der Weg",3,,,,,Campus C,44,,,,,,,Top500
iterum,iterum,iterum,Adverb,Adv.,"wiederum, zum zweiten Mal",2,,iterum reimt sich mit wiederum,,,Campus C,5,,,,,,,
iubere,"iubēre, iubeō, iussī, iussum","iubere, iubeo, iussi, iussum",Verb,m. Akk.,"anordnen, befehlen",2,,,,,Campus C,57,,,,,,,Top500
iudex,"iūdex, iūdicis","iudex, iudicis",Nomen,m,der Richter,1,,,,,Campus C,46,,,,,,,Top500
Iuppiter,"Iuppiter, Iovis","Iuppiter, Iovis",Nomen,m,Jupiter,1,Griech. Zeus; Göttervater und höchster Gott der Römer,,,,Campus C,21,,,,,,,
iurare,"iūrāre, iūrō","iurare, iuro",Verb,,schwören,1,,,,,Campus C,43,,,,,,,
iuvare,"iuvāre, iuvō, iūvī","iuvare, iuvo, iuvi",Verb,m. Akk.,"unterstützen, helfen; erfreuen",3,,,,,Campus C,53,,,,,,,
iuvenis (Adj.),"iuvenis, iuvenis, iuvene","iuvenis, iuvenis, iuvene",Adjektiv,,jung,1,,,,,Campus C,32,,,,,,,
iuvenis (Subst.),"iuvenis, iuvenis","iuvenis, iuvenis",Nomen,m/f,"der junge Mann, die junge Frau",2,,,,,Campus C,32,,,,,,,
iuventus,"iuventūs, iuventūtis","iuventus, iuventutis",Nomen,f,die Jugend,1,,,,,Campus C,40,,,,,,,
labor,"labor, labōris","labor, laboris",Nomen,m,"die Arbeit, die Anstrengung",2,,,,,Campus C,27,,,,,,,Top500
laborare,"labōrāre, labōrō, labōrāvī, labōrātum","laborare, laboro, laboravi, laboratum",Verb,,"arbeiten, sich anstrengen",2,,,,,Campus C,8,,,,,,,
laborare (m. Abl.),labōrāre (m. Abl.),laborare (m. Abl.),Verb,m. Abl.,"leiden an, in Not / Sorge sein wegen",2,,,,,Campus C,28,,,,,,,
lacrima,"lacrima, lacrimae","lacrima, lacrimae",Nomen,f,die Träne,1,,,,,Campus C,7,,,,,,,Top500
laedere,"laedere, laedō, laesī, laesum","laedere, laedo, laesi, laesum",Verb,,"beschädigen, verletzen, beleidigen",3,,,,,Campus C,48,,,,,,,
laetitia,"laetitia, laetitiae","laetitia, laetitiae",Nomen,f,die Freude,1,,,,,Campus C,7,,,,,,,
laetus,"laetus, a, um","laetus, a, um",Adjektiv,,froh; fruchtbar,2,,,,,Campus C,52,,,,,,,
Laius,Lāius,Laius,,,"Laios (König von Theben, Vater des Ödipus; wurde von seinem Sohn, der ihn nicht erkannt hatte, im Affekt erschlagen.)",5,,,,,Campus C,59,,,,,,,
Laocoon,"Lāocoōn, Lāocoontis","Laocoon, Laocoontis",Nomen,m,Laokoon,1,Trojanischer Priester,,,,Campus C,29,,,,,,,
latere,"latēre, lateō, latuī","latere, lateo, latui",Verb,,verborgen sein,1,,,,,Campus C,5,,,,,,,
Latini,"Latīnī, Latīnōrum","Latini, Latinorum",Nomen,m Plural,die Latiner,1,Volksstamm in Italien,,,,Campus C,31,,,,,,,
Latinus,"Latīnus, Latīnī","Latinus, Latini",Nomen,,Latinus,1,König der Latiner,,,,Campus C,31,,,,,,,
Latona,"Lātōna, Lātōnae","Latona, Latonae",Nomen,f,Latona (griech. Leto; Göttin. War von Jupiter Mutter des Apollo und der Diana.),2,,,,,Campus C,56,,,,,,,
latus,"latus, a, um","latus, a, um",Adjektiv,,breit,1,,,,,Campus C,55,,,,,,,
laudare,"laudāre, laudō, laudāvī, laudātum","laudare, laudo, laudavi, laudatum",Verb,,loben,1,,,,,Campus C,8,,,,,,,Top500
legatus,lēgātus,legatus,,,"Gesandter, Bevollmächtigter",2,,,,,Campus C,40,,,,,,,Top500
legere,"legere, legō, lēgī, lēctum","legere, lego, legi, lectum",Verb,,lesen; auswählen,2,,,,,Campus C,62,,,,,,,Top500
legio,"legiō, legiōnis","legio, legionis",Nomen,f,die Legion (ca. 5000-6000 Mann),1,,,,,Campus C,51,,,,,,,Top500
leo,"leō, leōnis","leo, leonis",Nomen,m,der Löwe,1,,,,,Campus C,23,,,,,,,
lex,"lēx, lēgis","lex, legis",Nomen,f,"das Gesetz, die Bedingung",2,,,,,Campus C,36,,,,,,,Top500
libellus,"libellus, libellī","libellus, libelli",Nomen,,"das kleine Buch, das Heft",2,,,,,Campus C,39,,,,,,,
libenter,libenter,libenter,Adverb,Adv.,gerne,1,,,,,Campus C,8,,,,,,,
liber,"līber, lībera, līberum","liber, libera, liberum",Adjektiv,,frei,1,,,,,Campus C,15,,,,,,,Top500
liberare,"līberāre, līberō, līberāvī, līberātum","liberare, libero, liberavi, liberatum",Verb,,"befreien, freilassen",2,,,,,Campus C,13,,,,,,,
liberi,"līberī, līberōrum","liberi, liberorum",Nomen,m Plural,die Kinder,1,,,,,Campus C,26,,,,,,,Top500
liberN,"liberN, librī","liberN, libri",Nomen,m,das Buch,1,,,,,Campus C,62,,,,,,,Top500
libertas,"lībertās, lībertātis","libertas, libertatis",Nomen,f,die Freiheit,1,,,,,Campus C,20,,,,,,,Top500
licet,licet,licet,Verb,,"es ist erlaubt, es ist möglich",2,,,,,Campus C,18,,,,,,,Top500
lingua,"lingua, linguae","lingua, linguae",Nomen,,"die Sprache, die Rede",2,,,,,Campus C,3,,,,,,,
litus,"lītus, lītoris","litus, litoris",Nomen,n,"die Küste, der Strand",2,,,,,Campus C,54,,,,,,,Top500
Livia,"Līvia, Līviaef","Livia, Liviaef",,,Livia (Frau des Augustus),1,,,,,Campus C,63,,,,,,,
Livius,"Līvius, Līviī","Livius, Livii",Nomen,,Titus Livius,1,Röm. Geschichtsschreiber,,,,Campus C,34,,,,,,,
locare,"locāre, locō, locāvī, locātum","locare, loco, locavi, locatum",Verb,,"aufstellen, setzen; vermieten",3,,,,,Campus C,68,,,,,,,
locus,"locus, locī","locus, loci",Nomen,m,"der Ort, der Platz, die Stelle",3,,,,,Campus C,33,,,,,,,Top500
longus,"longus, a, um","longus, a, um",Adjektiv,,"lang, weit",2,,,,,Campus C,50,,,,,,,Top500
ludus,"lūdus, lūdī","ludus, ludi",Nomen,m,das Spiel; die Schule,2,,,,,Campus C,10,,,,,,,
lux,"lūx, lūcis","lux, lucis",Nomen,f,"das Licht, das Tageslicht",2,,,,,Campus C,25,,,,,,,Top500
luxuria,"luxuria, luxuriae","luxuria, luxuriae",Nomen,f,"der Luxus, der Prunk",2,,,,,Campus C,62,,,,,,,
Macedones,"Macedōnēs, Macedōnum","Macedones, Macedonum",Nomen,m Plural,die Makedonen (Bewohner der Landschaft im Norden Griechenlands und des heutigen Mazedonien),1,,,,,Campus C,39;40;47,,,,,,,
magis,magis,magis,Adverb,,mehr,1,,,,,Campus C,17,,,,,,,Top500
magister,"magister, magistrī","magister, magistri",Nomen,m,"der Lehrer, der Meister",2,,,,,Campus C,15,,,,,,,
magistratus,"magistrātus, magistrātūs","magistratus, magistratus",Nomen,m,"das Amt, der Beamte",2,,,,,Campus C,69,,,,,,,
magnitudo,"magnitūdō, magnitūdinis","magnitudo, magnitudinis",Nomen,f,die Größe,1,,,,,Campus C,23,,,,,,,Top500
magnus,"magnus, a, um","magnus, a, um",Adjektiv,,"groß, bedeutend",2,,,,,Campus C,14,,,,,,,Top500
malle,"mālle, mālō, māluī","malle, malo, malui",Verb,,lieber wollen,1,,,,,Campus C,19;25,,,,,,,
malus,"malus, a, um","malus, a, um",Adjektiv,,"schlecht, schlimm",2,,,,,Campus C,24,,,,,,,Top500
manere,"manēre, maneō, mānsī","manere, maneo, mansi",Verb,,"bleiben, (er)warten",2,,,,,Campus C,12;27,,,,,,,Top500
manus,"manus, manūs","manus, manus",Nomen,f,die Hand; die Schar (von Bewaffneten),2,,,,,Campus C,52,,,,,,,Top500
mare,"mare, maris","mare, maris",Nomen,"n (Abl. Sg. -ī, Nom. / Akk. Plural -ia, Genitiv Plural -ium)",das Meer,1,,,,,Campus C,51,,,,,,,Top500
maritus,"marītus, marītī","maritus, mariti",Nomen,m,der Ehemann,1,,Englisch: to marry – heiraten,,,Campus C,30,,,,,,,
Mars,"Mārs, Mārtis","Mars, Martis",Nomen,m,Mars (röm. Kriegsgott),1,,,,,Campus C,58,,,,,,,
mater,"māter, mātris","mater, matris",Nomen,f,die Mutter,1,,,,,Campus C,20,,,,,,,Top500
maxime,maximē,maxime,Adverb,Adv.,"am meisten, besonders",2,,,,,Campus C,34,,,,,,,
maximus,"maximus, a, um","maximus, a, um",Adjektiv,,"der größte, sehr groß",2,,,,,Campus C,39,,,,,,,
me,mē,me,Pronomen,Akk.,mich,1,,,,,Campus C,13,,,,,,,
mecum,mēcum,mecum,Pronomen,,mit mir,1,,,,,Campus C,13,,,,,,,
medius,"medius, a, um","medius, a, um",Adjektiv,,"der mittlere, in der Mitte (von)",2,,,,,Campus C,53,,,,,,,Top500
memoria,"memoria, memoriae","memoria, memoriae",Nomen,f,"die Erinnerung, das Gedächtnis; die Zeit",3,,,,,Campus C,62,,,,,,,Top500
mens,"mēns, mentis","mens, mentis",Nomen,f (Genitiv Plural -ium),"der Geist, der Sinn, der Verstand; dieMeinung",4,,,,,Campus C,67,,,,,,,Top500
mensa,"mēnsa, mēnsae","mensa, mensae",Nomen,,der (Ess-)Tisch,1,,,,,Campus C,8,,,,,,,
mercator,"mercātor, mercātōris","mercator, mercatoris",Nomen,m,"der Kaufmann, der Händler",2,,,,,Campus C,18,,,,,,,
Mercurius,"Mercurius, Mercuriī","Mercurius, Mercurii",Nomen,m,Merkur,1,Götterbote,,,,Campus C,21,,,,,,,
metuere,"metuere, metuo, metui","metuere, metuo, metui",Verb,,(sich) fürchten,1,,,,,Campus C,60,,,,,,,
metus,"metus, metūs","metus, metus",Nomen,m,die Angst,1,,,,,Campus C,52,,,,,,,Top500
meus,"meus, a, um","meus, a, um",Adjektiv,,mein,1,,,,,Campus C,14,,,,,,,Top500
mihi,mihi,mihi,Pronomen,Dativ,mir,1,,,,,Campus C,13,,,,,,,
miles,"mīles, mīlitis","miles, militis",Nomen,m,der Soldat,1,,Militär,,,Campus C,32,,,,,,,Top500
militaris,"mīlitāris, mīlitāris, mīlitāre","militaris, militaris, militare",,,militärisch,1,,,,,Campus C,68,,,,,,,
mille,mīlle,mille,,Sg. indekl.,tausend,1,,,,,Campus C,51,,,,,,,Top500
Minerva,"Minerva, Minervae","Minerva, Minervae",Nomen,,Minerva,1,Göttin der Weisheit,,,,Campus C,21,,,,,,,
minime,minimē,minime,Adverb,Adv.,"am wenigsten, überhaupt nicht",2,,,,,Campus C,70,,,,,,,
Minotaurus,"Mīnōtaurus, Mīnōtaurī","Minotaurus, Minotauri",Nomen,m,"Minotaurus (Sohn der Pasiphaë. Von einem Stier gezeugt, daher halb Mensch und halb Stier)",2,,,,,Campus C,55,,,,,,,
mirus,"mīrus, a, um","mirus, a, um",Adjektiv,,"erstaunlich, sonderbar",2,,,,,Campus C,24,,,,,,,
miser,"miser, misera, miserum","miser, misera, miserum",Adjektiv,,"arm, erbärmlich, unglücklich",3,,,,,Campus C,15,,,,,,,Top500
mittere,"mittere, mittō, mīsī, missum","mittere, mitto, misi, missum",Verb,,"(los)lassen, schicken, werfen",3,,,,,Campus C,16;27;48,,,,,,,Top500
modestia,"modestia, modestiae","modestia, modestiae",Nomen,f,"die Bescheidenheit, der Anstand",2,,,,,Campus C,9,,,,,,,
modus,"modus, modī","modus, modi",Nomen,m,"die Art, die Weise; das Maß",3,,,,,Campus C,58,,,,,,,Top500
moenia,"moenia, moenium","moenia, moenium",Nomen,n Plural,"die Mauern, die Stadtmauern",2,,,,,Campus C,51,,,,,,,
monere,"monēre, moneō, monuī, monitum","monere, moneo, monui, monitum",Verb,,"mahnen, ermahnen",2,,,,,Campus C,2;47,,,,,,,
mons,"mōns, montis","mons, montis",Nomen,m (Genitiv Plural montium),der Berg,1,,,,,Campus C,23,,,,,,,Top500
monstrum,"mōnstrum, mōnstrī","monstrum, monstri",Nomen,n,das Ungeheuer,1,,,,,Campus C,24,,,,,,,
monumentum,"monumentum, monumentī","monumentum, monumenti",Nomen,n,das Denkmal,1,,,,,Campus C,30,,,,,,,
mora,"mora, morae","mora, morae",Nomen,f,"der Aufenthalt, der Verzögerung",2,,,,,Campus C,55,,,,,,,
mors,"mors, mortis","mors, mortis",Nomen,f (Genitiv Plural mortium),der Tod,1,,,,,Campus C,22,,,,,,,Top500
mortalis,"mortālis, mortālis, mortāle","mortalis, mortalis, mortale",,,sterblich; Subst. der Mensch,2,,,,,Campus C,55,,,,,,,
mortuus,"mortuus, a, um","mortuus, a, um",Adjektiv,,"gestorben, tot; Subst. der Tote",3,,,,,Campus C,21,,,,,,,
mortuus (Adj.),"mortuus, a, um","mortuus, a, um",Adjektiv,,"gestorben, tot",2,,,,,Campus C,21,,,,,,,
mortuus (Subst.),"mortuus, mortuī","mortuus, mortui",Nomen,,der Tote,1,,,,,Campus C,21,,,,,,,
mos,"mōs, mōris","mos, moris",Nomen,m,"die Sitte, der Brauch; Pl. der Charakter",3,,,,,Campus C,36,,,,,,,Top500
movere,"movēre, moveō, mōvī, mōtum","movere, moveo, movi, motum",Verb,,"bewegen, beeindrucken",2,,,,,Campus C,7;27;55,,,,,,,Top500
mox,mox,mox,Adverb,Adv.,bald,1,,,,,Campus C,7,,,,,,,Top500
mulier,"mulier, mulieris","mulier, mulieris",Nomen,f,die Frau,1,,,,,Campus C,19,,,,,,,Top500
multa,"multa, ōrum","multa, orum",Nomen,n Plural,viel(es),1,,,,,Campus C,38,,,,,,,
multitudo,"multitūdō, multitūdinis","multitudo, multitudinis",Nomen,f,"die große Zahl, die Menge",2,,,,,Campus C,23,,,,,,,Top500
multum,multum,multum,Adverb,Adv.,"sehr, viel",2,,,,,Campus C,34,,,,,,,
multum valere,multum valēre,multum valere,,,großen Einfluss haben,1,,,,,Campus C,34,,,,,,,
multus,"multus, a, um","multus, a, um",Adjektiv,,viel,1,,,,,Campus C,14,,,,,,,Top500
munire,"mūnīre, mūniō, mūnīvī, mūnītum","munire, munio, munivi, munitum",Verb,,"bauen, befestigen, schützen",3,,,,,Campus C,31,,,,,,,
munitio,"mūnītiō, mūnītiōnis","munitio, munitionis",Nomen,f,"der Bau, die Befestigung",2,,,,,Campus C,69,,,,,,,
munus,"munus, muneris","munus, muneris",Nomen,n,das Geschenk; die Aufgabe,2,,,,,Campus C,65,,,,,,,Top500
murus,"mūrus, mūrī","murus, muri",Nomen,m,die Mauer,1,,,,,Campus C,1,,,,,,,
mutare,"mūtāre, mūtō, mūtāvī, mūtātum","mutare, muto, mutavi, mutatum",Verb,,"(ver)ändern, verwandeln",2,,,,,Campus C,41,,,,,,,
nam,nam,nam,Subjunktion,,"denn, nämlich",2,,,,,Campus C,3,,,,,,,Top500
narrare,"narrāre, narrō, narrāvī, narrātum","narrare, narro, narravi, narratum",Verb,,erzählen,1,,,,,Campus C,14,,,,,,,
natio,"nātiō, nātiōnis","natio, nationis",Nomen,f,"das Volk, der Volksstamm",2,,,,,Campus C,23,,,,,,,
natura,"nātūra, nātūrae","natura, naturae",Nomen,f,"die Natur, das Wesen, die Beschaffenheit",3,,,,,Campus C,6,,,,,,,Top500
navigium,"nāvigium, nāvigii","navigium, navigii",Nomen,n,das Schiff,1,,,,,Campus C,46,,,,,,,
navis,"nāvis, nāvis","navis, navis",Nomen,"f (Abl. Sg. -ī, Genitiv Plural -ium)",das Schiff,1,,,,,Campus C,51,,,,,,,Top500
ne,nē,ne,Subjunktion,Subj. m. Konj.,"dass nicht; (nach Ausdrücken des Fürchtens und Hinderns) dass; damit nicht, um nicht zu m. Inf.",4,,,,,Campus C,45;59,,,,,,,Top500
ne ... quidem,nē ... quidem,ne ... quidem,,,nicht einmal,1,,,,,Campus C,44,,,,,,,Top500
necare,"necāre, necō, necāvī, necātum","necare, neco, necavi, necatum",Verb,,töten,1,,,,,Campus C,60,,,,,,,
necessarius,"necessarius, necessāria, necessārium","necessarius, necessaria, necessarium",Adjektiv,,notwendig,1,,,,,Campus C,67,,,,,,,
necesse (est),necesse (est),necesse (est),,,(es ist) notwendig,1,,,,,Campus C,61,,,,,,,
nefarius,"nefārius, a, um","nefarius, a, um",Adjektiv,,"gottlos, verbrecherisch",2,,,,,Campus C,56,,,,,,,
negare,"negāre, negō, negāvī, negātum","negare, nego, negavi, negatum",Verb,,"leugnen, verneinen, verweigern",3,,,,,Campus C,45,,,,,,,Top500
neglegere,"neglegere, neglegō, neglēxī, neglēctum","neglegere, neglego, neglexi, neglectum",Verb,,"nicht (be)achten, vernachlässigen",2,,,,,Campus C,41,,,,,,,
negotium,"negōtium, negōtiī","negotium, negotii",Nomen,n,"die Aufgabe, das Geschäft; die Angelegenheit",3,,,,,Campus C,22,,,,,,,
